Title,Salary,City,Country,Years,Pronouns,Race,Orientation,Education
Middleweight Graphic Designer,50000,OAKLAND,USA,5,HE/HIM,LATINO/HISPANIC,STRAIGHT,COLLEGE
Sr. Art Director ,90000,OAKLAND,USA,15,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer ,31000,OCALA,USA,6,SHE/HER,LATINO/HISPANIC,ASEXUAL,COLLEGE
Jr. Graphic Designer/ Illustrator,35000,OKLAHOMA CITY,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Creative Services Manager ,36000,OMAHA,USA,5,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
User Experience Associate & Graphic Designer,41005,OMAHA,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,62000,OMAHA,USA,8,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic Design Specialist,22000,"OMAHA, NE",USA,12,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
UX/UI Designer Level II,52000,ORANGE COUNTY,USA,7,SHE/HER,MIXED,STRAIGHT,COLLEGE
Creative Director (with heavy operations responsibilities),110000,"ORANGE COUNTY, CA",USA,17,SHE/HER,ASIAN,STRAIGHT,HIGHSCHOOL
Creative Director,150000,"ORANGE COUNTY, CA",USA,25,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer,40000,ORLANDO,USA,3.5,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Product Designer,95000,"ORLANDO, FL",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX Designer,85000,"ORLANDO, FLORIDA",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Graphic Designer,44000,"OVERLAND PARK, KANSAS",USA,2,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Designer,55000,PACIFIC NORTHWEST,USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Creative Director,138000,PALO ALTO,USA,9,HE/HIM,WHITE,STRAIGHT,MASTER
Lead Graphic Designer,58000,"PARK CITY, UTAH",USA,5.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic & Web Designer,54000,PENNSYLVANIA,USA,4,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Graphic Designer,55000,PENNSYLVANIA ,USA,4,HE/HIM,WHITE,QUEER/FLUID,COLLEGE
Production Designer - Digital,75000,PHILA,USA,5,HE/HIM,WHITE,BI/PAN,COLLEGE
Graphic Designer,40000,PHILADELPHIA,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,44000,PHILADELPHIA,USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Experience Designer,45000,PHILADELPHIA,USA,2,SHE/HER,WHITE,GAY/LES,COLLEGE
Graphic Designer,45000,PHILADELPHIA,USA,2,NON-BINARY,MIXED,QUEER/FLUID,COLLEGE
Junior Designer,45000,PHILADELPHIA,USA,2,SHE/HER,MIXED,STRAIGHT,COLLEGE
3D Designer,45000,PHILADELPHIA,USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
Graphic designer,45000,PHILADELPHIA,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,46000,PHILADELPHIA,USA,2,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,48000,PHILADELPHIA,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
assistant designer,48000,PHILADELPHIA,USA,2,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer,50000,PHILADELPHIA,USA,1.5,SHE/HER,MIXED,BI/PAN,COLLEGE
Junior UX Designer,50000,PHILADELPHIA,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,50000,PHILADELPHIA,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,62000,PHILADELPHIA,USA,7,NON-BINARY,WHITE,BI/PAN,COLLEGE
Marketing Manager,65000,PHILADELPHIA,USA,20,SHE/HER,MIXED,STRAIGHT,COLLEGE
Digital Designer,65000,PHILADELPHIA,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Designer,65000,PHILADELPHIA,USA,10,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,70000,PHILADELPHIA,USA,7,SHE/HER,LATINO/HISPANIC,QUEER/FLUID,COLLEGE
Associate Creative Director,75000,PHILADELPHIA,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX Designer,85000,PHILADELPHIA,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Experience Designer,88000,PHILADELPHIA,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,91018,PHILADELPHIA,USA,20,SHE/HER,WHITE,BI/PAN,COLLEGE
"Manager, UX Design",101000,PHILADELPHIA,USA,13,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior UI/UX Designer,105000,PHILADELPHIA,USA,7,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
Product Designer,115000,PHILADELPHIA,USA,5,NON-BINARY,WHITE,QUEER/FLUID,MASTER
Visual Designer,48000,PHILADELPHIA ,USA,1,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Visual Designer,48000,PHILADELPHIA ,USA,1,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Junior Graphic Designer,44000,"PHILADELPHIA, PA",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,63000,"PHILADELPHIA, PA",USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,65000,"PHILADELPHIA, PA",USA,11,SHE/HER,WHITE,STRAIGHT,MASTER
Senior Graphic Designer,60000,"PHILADELPHIA, PENNSYLVANIA",USA,6,SHE/HER,MIXED,STRAIGHT,COLLEGE
Associate Creative Director,95000,"PHILADELPHIA, PENNSYLVANIA",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead Designer,162000,PHILDELPHIA,USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Head of Creative,33600,PHOENIX,USA,10,SHE/HER,LATINO/HISPANIC,STRAIGHT,HIGHSCHOOL
Senior Graphic Designer,61000,PHOENIX,USA,11,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Senior Graphic Designer,78000,PHOENIX,USA,23,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic designer/social media manager,41000,PITTSBURGH,USA,10,SHE/HER,BLACK,QUEER/FLUID,COLLEGE
Assistant Director of Creative Services,45000,PITTSBURGH,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer/Art Director,40000,PITTSBURGH ,USA,6,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic Designer,71500,"PITTSBURGH, PA",USA,25,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,54000,"PITTSFIELD, MASSACHUSETTS",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,46800,PORTLAND,USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Web Designer,47000,PORTLAND,USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Creative Team Lead,48400,PORTLAND,USA,2.5,NON-BINARY,WHITE,BI/PAN,COLLEGE
Designer,55000,PORTLAND,USA,3.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,58000,PORTLAND,USA,6,SHE/HER,LATINO/HISPANIC,QUEER/FLUID,COLLEGE
Designer,70000,PORTLAND,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,82200,PORTLAND,USA,7,HE/HIM,WHITE,STRAIGHT,COLLEGE
Brand Design II,90000,PORTLAND,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
Associate Design Director,98000,PORTLAND,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Strategy Director,110000,PORTLAND,USA,20,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
Art Director,130000,PORTLAND,USA,8,HE/HIM,ASIAN,GAY/LES,MASTER
Senior Designer,85000,PORTLAND OR,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Production designer,31000,"PORTLAND, OR",USA,10,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
"Graphic designer, book cover designer",38000,"PORTLAND, OR",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Motion Graphics Designer,45000,"PORTLAND, OR",USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
Brand Designer,50000,"PORTLAND, OR",USA,12.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer (books & product),52000,"PORTLAND, OR",USA,12,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,54000,"PORTLAND, OR",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer ,55000,"PORTLAND, OR",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
assistant designer,67000,"PORTLAND, OR",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,80000,"PORTLAND, OR",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director & Designer,90000,"PORTLAND, OR",USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Art Director,98000,"PORTLAND, OR",USA,15,HE/HIM,WHITE,GAY/LES,COLLEGE
Design Director,100000,"PORTLAND, OR",USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design Director,150000,"PORTLAND, OR",USA,17,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design Director,200000,"PORTLAND, OR",USA,7,HE/HIM,ASIAN,STRAIGHT,MASTER
Graphic Design Professor and Department Head,85000,"PORTLAND, OR METRO",USA,25,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Studio Manager,69000,"PORTLAND, OREGON",USA,6,SHE/HER,WHITE,STRAIGHT,MASTER
Digital Product Designer,75000,"PORTLAND, OREGON",USA,3,HE/HIM,WHITE,GAY/LES,COLLEGE
Senior Graphic Designer,48000,PROVIDENCE,USA,38,HE/HIM,WHITE,GAY/LES,COLLEGE
Associate Graphic Designer,58000,"PROVIDENCE, RI",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,63675,"PROVIDENCE, RI",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,"QUEENS, NY",USA,1.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Production Artist,58000,"QUINCY, MA",USA,29,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX Designer,66950,RALEIGH,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design Manager,70000,RALEIGH,USA,17,SHE/HER,WHITE,STRAIGHT,COLLEGE
Ux/ Ui Designer,73000,RALEIGH,USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product designer,85000,RALEIGH,USA,10,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,86000,RALEIGH,USA,9,SHE/HER,WHITE,GAY/LES,COLLEGE
UX/UI designer,95000,RALEIGH,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Multimedia communications associate ,60000,RALEIGH NC,USA,3,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Marketing Graphic Designer,52000,"RALEIGH NC,",USA,7,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic designer,53000,"RALEIGH, NC",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Manager,60000,"RALEIGH, NC",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Principal Graphic Designer,68000,"RALEIGH, NC",USA,5,SHE/HER,MIXED,STRAIGHT,COLLEGE
UX Designer,75000,"RALEIGH, NC",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior UX Designer,122000,"RALEIGH, NC",USA,6,SHE/HER,MIXED,QUEER/FLUID,COLLEGE
Visual Designer ,88000,"RALEIGH, NC ",USA,1.5,HE/HIM,WHITE,GAY/LES,COLLEGE
UX Designer,70000,RALEIGH/DURHAM,USA,3,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer,37000,RANCHO CUCAMONGA,USA,15,HE/HIM,LATINO/HISPANIC,STRAIGHT,COLLEGE
Marketing manager ,41600,RANCHO CUCAMONGA,USA,13,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer I,110000,"REDMOND, WA",USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
UX Designer,58500,REMOTE,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer ,66000,REMOTE,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Marketing Designer,80000,REMOTE (COMPANY BASED IN BALTIMORE),USA,5,SHE/HER,ASIAN,BI/PAN,COLLEGE
Graphic Designer,52000,REMOTE WORK,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,45000,REMOTE WORKER,USA,20,NON-BINARY,WHITE,BI/PAN,ASSOCIATE
Graphic Designer,48000,RICHMOND,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX Designer,81200,RICHMOND,USA,12,SHE/HER,WHITE,BI/PAN,COLLEGE
Art Director / Project Manager,53000,"RICHMOND, VA",USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,66000,"RICHMOND, VA",USA,20,SHE/HER,WHITE,STRAIGHT,COLLEGE
Multimedia Designer,45760,"ROCHESTER, NY",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,50000,"ROCHESTER, NY",USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Content Creator,38000,ROCKY MOUNTAINS/WEST,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX/UI Designer,70000,SACRAMENTO,USA,3,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,70000,SACRAMENTO,USA,3,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Assistant Professor of Graphic Design ,68000,"SALEM, MASSACHUSETTS ",USA,6,HE/HIM,BLACK,STRAIGHT,MASTER
Design Lead,29000,SALT LAKE CITY,USA,4,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
Sr Graphic Designer,47000,SALT LAKE CITY,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,60000,SALT LAKE CITY,USA,19,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr. Graphic Designer,65560,SALT LAKE CITY,USA,37,SHE/HER,ASIAN,STRAIGHT,ASSOCIATE
Associate professor,104000,SALT LAKE CITY,USA,15,SHE/HER,ASIAN,STRAIGHT,MASTER
Creative Director,115000,SALT LAKE CITY,USA,15,HE/HIM,MIXED,STRAIGHT,COLLEGE
Graphic Designer ,49000,"SALT LAKE CITY, UT",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,56100,"SALT LAKE CITY, UT",USA,15,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Art Director,68000,"SALT LAKE CITY, UT",USA,3.5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Jr. Product Designer,75000,"SALT LAKE CITY, UT",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior designer,40000,"SALT LAKE CITY, UTAH",USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphics Specialist,49899,"SALT LAKE CITY, UTAH",USA,18,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic Designer,52000,"SALT LAKE CITY, UTAH",USA,4,HE/HIM,WHITE,BI/PAN,COLLEGE
Grahic Designer,45000,SAN ANTONIO,USA,10,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Marketing Coordinator,45000,"SAN ANTONIO, TEXAS",USA,2.5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,40000,"SAN ANTONIO, TX",USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer I,41000,SAN BERNARDINO ,USA,8,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Junior Designer,46000,SAN DIEGO,USA,2,HE/HIM,ASIAN,GAY/LES,COLLEGE
Jr. Web Producer,50000,SAN DIEGO,USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
UI Designer,70000,SAN DIEGO,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Creative Director,92317,SAN DIEGO,USA,13,SHE/HER,WHITE,STRAIGHT,COLLEGE
Principal,225000,SAN DIEGO,USA,26,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic designer ,58000,SAN DIEGO ,USA,10,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Production Manager,60000,"SAN DIEGO, CA",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Digital Designer,70000,"SAN DIEGO, CALIFORNIA",USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Designer,65000,SAN FRANCISCO,USA,2,HE/HIM,LATINO/HISPANIC,GAY/LES,MASTER
Graphic Designer (Marketing),65000,SAN FRANCISCO,USA,2,SHE/HER,WHITE,GAY/LES,COLLEGE
Graphic Designer,68000,SAN FRANCISCO,USA,3,SHE/HER,ASIAN,BI/PAN,COLLEGE
Junior Digital Designer,70000,SAN FRANCISCO,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Visual Designer,75000,SAN FRANCISCO,USA,4,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Designer,76000,SAN FRANCISCO,USA,10,HE/HIM,WHITE,STRAIGHT,COLLEGE
Jr Graphic Designer,83000,SAN FRANCISCO,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Brand Designer,85000,SAN FRANCISCO,USA,1,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,87000,SAN FRANCISCO,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Mid-level Graphic Designer,90000,SAN FRANCISCO,USA,3.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,90100,SAN FRANCISCO,USA,11,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Designer,95000,SAN FRANCISCO,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Visual Designer,97000,SAN FRANCISCO,USA,11,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,97000,SAN FRANCISCO,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product Designer,100000,SAN FRANCISCO,USA,6,SHE/HER,WHITE,BI/PAN,COLLEGE
Creative Services Manager,103000,SAN FRANCISCO,USA,13,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior graphic designer ,110000,SAN FRANCISCO,USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Designer,111000,SAN FRANCISCO,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Product Designer,116000,SAN FRANCISCO,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,120000,SAN FRANCISCO,USA,5,SHE/HER,ASIAN,BI/PAN,COLLEGE
Product Designer,140000,SAN FRANCISCO,USA,9,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Visual Designer,147000,SAN FRANCISCO,USA,2,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Visual Designer,150000,SAN FRANCISCO,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Director,150000,SAN FRANCISCO,USA,20,SHE/HER,WHITE,STRAIGHT,MASTER
Sr Visual Designer,165000,SAN FRANCISCO,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Brand Designer,168000,SAN FRANCISCO,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Director,175000,SAN FRANCISCO,USA,8,SHE/HER,MIXED,STRAIGHT,COLLEGE
Brand Design Manager,190000,SAN FRANCISCO,USA,6,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Brand designer,200000,SAN FRANCISCO,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Sr. Staff Designer (UX),200000,SAN FRANCISCO,USA,20,HE/HIM,WHITE,STRAIGHT,MASTER
Co-Founder,500000,SAN FRANCISCO,USA,24,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Design Lead,60000,SAN FRANCISCO ,USA,8,HE/HIM,WHITE,BI/PAN,COLLEGE
Marketing Designer ,62000,SAN FRANCISCO ,USA,4,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Visual Designer,83000,SAN FRANCISCO ,USA,1,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Brand Designer ,97000,SAN FRANCISCO ,USA,2,HE/HIM,MIXED,STRAIGHT,HIGHSCHOOL
Senior Graphic Designer,102981,SAN FRANCISCO ,USA,8,SHE/HER,MIXED,STRAIGHT,COLLEGE
Brand designer ,110000,SAN FRANCISCO ,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product designer ,140000,SAN FRANCISCO ,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Brand Design Director,170000,SAN FRANCISCO ,USA,20,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Marketing Manager & Graphic Designer,62800,SAN FRANCISCO BAY AREA,USA,6,SHE/HER,WHITE,STRAIGHT,MASTER
UX Designer,120000,SAN FRANCISCO BAY AREA,USA,2,HE/HIM,ASIAN,STRAIGHT,MASTER
Product Designer,195000,SAN FRANCISCO BAY AREA,USA,5.5,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Junior designer,60000,SAN FRANCISCO CA,USA,0,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior digital designer,70000,SAN FRANCISCO CALIFORNIA ,USA,1,HE/HIM,ASIAN,GAY/LES,COLLEGE
Senior Director of Branding Strategy,52474,"SAN FRANCISCO, CA",USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
Publications Manager,72000,"SAN FRANCISCO, CA",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product Designer,150000,"SAN FRANCISCO, CA",USA,3.5,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Art Director,72847,"SAN FRANCISCO, CALIFORNIA ",USA,11,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Director,108000,SAN FRANCSICO,USA,12,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Product Designer,110000,SAN FRANCSICO,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Product Designer,325000,SAN FRANSISCO,USA,7,HE/HIM,WHITE,STRAIGHT,COLLEGE
Global Workplace Designer - Graphics & Branding,120000,SAN FRANSISCO ,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr. Graphic Designer,66500,"SAN JOSE, CA",USA,25,SHE/HER,WHITE,STRAIGHT,HIGHSCHOOL
Visual Designer,107100,"SAN JOSE, CA",USA,2,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Technical Illustrator & Media Producer,50000,"SAN JOSE, CALIFORNIA",USA,3,SHE/HER,MIXED,STRAIGHT,COLLEGE
Design manager,100000,SAN MATEO,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Packaging Design Manager,165000,SAN MATEO,USA,20,HE/HIM,WHITE,STRAIGHT,COLLEGE
Instructional Designer and Videographer,50000,SANTA ANA,USA,5,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,55000,SANTA ANA,USA,7,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Senior Product Designer,110000,"SANTA BARBARA, CA",USA,6,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer - Advanced,44734,SANTA FE,USA,6,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Package Design Specialist,32000,"SCARBOROUGH, ME",USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,SEATTLE,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,48000,SEATTLE,USA,4,SHE/HER,MIXED,GAY/LES,COLLEGE
Designer,55000,SEATTLE,USA,4,HE/HIM,MIXED,GAY/LES,COLLEGE
Junior Graphic Designer,56000,SEATTLE,USA,2.25,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,56500,SEATTLE,USA,1,SHE/HER,ASIAN,STRAIGHT,MASTER
Animation Production Designer,58000,SEATTLE,USA,1,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Designer,60000,SEATTLE,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,62424,SEATTLE,USA,42,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic Designer,63000,SEATTLE,USA,5,SHE/HER,ASIAN,BI/PAN,COLLEGE
Art Director,65000,SEATTLE,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Visual Designer ,65000,SEATTLE,USA,1,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Art director,67000,SEATTLE,USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Graphic Designer,75000,SEATTLE,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Creative strategist,77000,SEATTLE,USA,5,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
Graphic Designer,77000,SEATTLE,USA,11,HE/HIM,WHITE,STRAIGHT,COLLEGE
Designer,83000,SEATTLE,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product Designer,85000,SEATTLE,USA,2,HE/HIM,MIXED,STRAIGHT,COLLEGE
UX Designer,88000,SEATTLE,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr. Product Designer,100000,SEATTLE,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product Designer,105000,SEATTLE,USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
Design lead,105000,SEATTLE,USA,25,HE/HIM,WHITE,STRAIGHT,COLLEGE
Creative Director,140000,SEATTLE,USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Owner/Partner,136000,SEATTLE-TACOMA,USA,30,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,46000,"SEATTLE, WA",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Visual Designer,54000,"SEATTLE, WA",USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Digital Media Designer,63000,"SEATTLE, WA",USA,4.5,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer & Marketing Specialist,68000,"SEATTLE, WA",USA,15,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,68000,"SEATTLE, WA",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Design Manager,135000,"SEATTLE, WA",USA,10,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Product Designer,50000,"SEATTLE, WASHINGTON",USA,1,HE/HIM,ASIAN,GAY/LES,COLLEGE
Graphic Designer ,40000,"SEWELL, NJ",USA,5,SHE/HER,BLACK,STRAIGHT,COLLEGE
Visual Designer II ,80000,SF,USA,5,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Art Director ,56000,SHEFFIELD VILLAGE,USA,27,HE/HIM,WHITE,STRAIGHT,COLLEGE
Marketing and Communication Specialist,40000,SIOUX FALLS,USA,1,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic designer,46000,SIOUX FALLS,USA,5,SHE/HER,ASIAN,GAY/LES,COLLEGE
Visual Designer,46344,SIOUX FALLS,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,35360,"SIOUX FALLS, SD",USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,38000,"SIOUX FALLS, SD",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
